model,ablation_type,removed_governance_metric,feature_count,leakage_safe_feature_count,governance_metric_count,roc_auc,average_precision,f1,balanced_accuracy,mcc
full_governance_model,none,none,23,14,9,0.9671487603305785,0.9093438664209144,0.8157894736842105,0.8668388429752066,0.7608897515131606
leave_out__panel_traceability_index_0_1,leave_one_metric_out,panel_traceability_index_0_1,22,14,8,0.9667355371900826,0.9085521101506887,0.8157894736842105,0.8668388429752066,0.7608897515131606
leave_out__panel_interpretability_index_0_1,leave_one_metric_out,panel_interpretability_index_0_1,22,14,8,0.9669421487603306,0.909172612398362,0.8157894736842105,0.8668388429752066,0.7608897515131606
leave_out__panel_audit_readiness_index_0_1,leave_one_metric_out,panel_audit_readiness_index_0_1,22,14,8,0.9671487603305785,0.911674791372739,0.8157894736842105,0.8668388429752066,0.7608897515131606
leave_out__panel_governance_alignment_index_0_1,leave_one_metric_out,panel_governance_alignment_index_0_1,22,14,8,0.9665289256198346,0.9062457862679516,0.8157894736842105,0.8668388429752066,0.7608897515131606
leave_out__panel_risk_signal_completeness_0_1,leave_one_metric_out,panel_risk_signal_completeness_0_1,22,14,8,0.9677685950413223,0.9106229370504629,0.8157894736842105,0.8668388429752066,0.7608897515131606
leave_out__panel_temporal_support_index_0_1,leave_one_metric_out,panel_temporal_support_index_0_1,22,14,8,0.9665289256198346,0.9099130758300544,0.8157894736842105,0.8668388429752066,0.7608897515131606
leave_out__panel_decision_usability_index_0_1,leave_one_metric_out,panel_decision_usability_index_0_1,22,14,8,0.9661157024793389,0.9050330946214605,0.8,0.8543388429752066,0.7424242424242424
leave_out__panel_interpretability_score_1_5,leave_one_metric_out,panel_interpretability_score_1_5,22,14,8,0.96900826446281,0.9130837807420203,0.8157894736842105,0.8668388429752066,0.7608897515131606
leave_out__panel_decision_usability_score_1_5,leave_one_metric_out,panel_decision_usability_score_1_5,22,14,8,0.9673553719008265,0.9075978609209207,0.8157894736842105,0.8668388429752066,0.7608897515131606
