model,feature,permutation_importance_mean,permutation_importance_std,is_governance_metric
full_governance_model,year,-0.0002410468319559415,0.000592446643735711,False
full_governance_model,period_order,0.008460743801652877,0.0019273936160575011,False
full_governance_model,value_mean,0.012741046831955934,0.006533050736212281,False
full_governance_model,value_median,0.01807851239669421,0.008229393569182047,False
full_governance_model,value_sum,0.014056473829201103,0.004098166522604634,False
full_governance_model,value_min,0.007768595041322298,0.0033834708052232717,False
full_governance_model,value_max,0.011473829201101926,0.004316726175012483,False
full_governance_model,value_std,0.0009228650137741175,0.0013524599730341724,False
full_governance_model,value_winsorized,0.010454545454545442,0.0065152243165665594,False
full_governance_model,is_core_indicator,0.0005785123966941974,0.00017203851235256777,False
full_governance_model,is_revenue_related,0.0006060606060605877,0.0006892559781375719,False
full_governance_model,is_expenditure_related,0.0004614325068870347,0.0005326234518177613,False
full_governance_model,is_debt_related,0.0009090909090908446,0.0004254392620242721,False
full_governance_model,is_surplus_deficit_related,-0.00033057851239669164,0.0002645919106377125,False
full_governance_model,panel_traceability_index_0_1,0.005681818181818169,0.0021503159763978145,True
full_governance_model,panel_interpretability_index_0_1,0.0017217630853994452,0.0013092646970748682,True
full_governance_model,panel_audit_readiness_index_0_1,0.0005647382920110023,0.00011848932874714002,True
full_governance_model,panel_governance_alignment_index_0_1,0.005323691460055091,0.0023251427174830197,True
full_governance_model,panel_risk_signal_completeness_0_1,0.0,0.0,True
full_governance_model,panel_temporal_support_index_0_1,0.0015909090909090762,0.0009303640471371228,True
full_governance_model,panel_decision_usability_index_0_1,0.006239669421487593,0.003291722845484932,True
full_governance_model,panel_interpretability_score_1_5,0.001336088154269973,0.0010132162496751052,True
full_governance_model,panel_decision_usability_score_1_5,0.006680440771349864,0.002860076005597731,True
