model,metric,mean,ci_lower_2_5,ci_upper_97_5,n_bootstrap
conventional_statistical_baseline,accuracy,0.883941935483871,0.8320967741935484,0.9290322580645162,1000
conventional_statistical_baseline,balanced_accuracy,0.8598912631596948,0.7943117503748126,0.9169913178852208,1000
conventional_statistical_baseline,precision,0.7997696314264615,0.6817940038684719,0.9090909090909091,1000
conventional_statistical_baseline,recall,0.8022442578009943,0.6791759156492786,0.909141414141414,1000
conventional_statistical_baseline,f1,0.7991685691049386,0.6999603174603174,0.8809624697336561,1000
conventional_statistical_baseline,mcc,0.718830268369024,0.5906424233837365,0.8267422316500027,1000
conventional_statistical_baseline,roc_auc,0.9306772038479465,0.8669556938475562,0.9785853819585534,1000
conventional_statistical_baseline,average_precision,0.8711345992042121,0.755231958147317,0.9604666725866134,1000
governance_centered_ai_model,accuracy,0.9227612903225806,0.8774193548387097,0.9612903225806452,1000
governance_centered_ai_model,balanced_accuracy,0.8993664175786443,0.8393860427363334,0.9540683958693029,1000
governance_centered_ai_model,precision,0.8859238907902186,0.7754974489795918,0.9736842105263158,1000
governance_centered_ai_model,recall,0.8433412597551444,0.7317073170731707,0.9411764705882353,1000
governance_centered_ai_model,f1,0.8626955399910233,0.7733333333333333,0.9315201489559781,1000
governance_centered_ai_model,mcc,0.81042059461444,0.6985752332027177,0.9040559391513735,1000
governance_centered_ai_model,roc_auc,0.9807365511689591,0.9623221610939002,0.9938173115277223,1000
governance_centered_ai_model,average_precision,0.9562868349883128,0.9085411624724893,0.9861095719866649,1000
majority_dummy_reference,accuracy,0.7101935483870968,0.6387096774193548,0.7806451612903226,1000
majority_dummy_reference,balanced_accuracy,0.5,0.5,0.5,1000
majority_dummy_reference,precision,0.0,0.0,0.0,1000
majority_dummy_reference,recall,0.0,0.0,0.0,1000
majority_dummy_reference,f1,0.0,0.0,0.0,1000
majority_dummy_reference,mcc,0.0,0.0,0.0,1000
majority_dummy_reference,roc_auc,0.5,0.5,0.5,1000
majority_dummy_reference,average_precision,0.2898064516129032,0.21935483870967742,0.36129032258064514,1000
standalone_ai_model,accuracy,0.9100967741935484,0.864516129032258,0.9548387096774194,1000
standalone_ai_model,balanced_accuracy,0.8788110810433165,0.816031941031941,0.9373647021582623,1000
standalone_ai_model,precision,0.8793786230673523,0.7631578947368421,0.9722222222222222,1000
standalone_ai_model,recall,0.8031571434032574,0.685128726287263,0.9117647058823529,1000
standalone_ai_model,f1,0.8379890192077879,0.75,0.9166666666666666,1000
standalone_ai_model,mcc,0.7785575817460921,0.6621777533125958,0.8835070082538519,1000
standalone_ai_model,roc_auc,0.9809920270790047,0.9626122435271388,0.9948226201443929,1000
standalone_ai_model,average_precision,0.9589656033021609,0.9177406422130568,0.9879158925320715,1000
