year,period,period_order,n_panel_observations,n_entities,n_categories,n_indicators,n_core_indicator_observations,mean_value_count,mean_source_files,mean_source_sheets
2021,End-Year/Annual,5,3,3,3,3,3,2.0,1.0,1.0
2022,Q1,1,64,64,7,9,61,3.15625,1.5,1.0
2022,Q2,2,47,47,7,8,44,2.0638297872340425,1.2340425531914894,1.0
2022,Q3,3,60,60,7,8,56,3.45,1.35,1.0
2022,Q4,4,47,47,7,8,46,2.7872340425531914,1.0,1.0
2022,End-Year/Annual,5,51,51,7,9,47,3.4901960784313726,1.1176470588235294,1.0588235294117647
2023,Q1,1,64,64,7,9,60,3.0,1.515625,1.0
2023,Q2,2,66,66,7,8,62,3.9696969696969697,1.4393939393939394,1.0
2023,Q3,3,66,66,7,9,61,4.2727272727272725,1.8333333333333333,1.0
2023,Q4,4,57,57,7,9,53,2.6666666666666665,1.6491228070175439,1.0
2023,End-Year/Annual,5,57,57,7,9,53,1.6491228070175439,1.1228070175438596,1.0175438596491229
2024,Q1,1,48,48,5,5,48,2.75,1.625,1.0
2024,Q2,2,64,64,7,8,63,5.125,1.84375,1.0
2024,Q3,3,54,54,7,9,53,3.537037037037037,1.3518518518518519,1.0
2024,Q4,4,52,52,7,8,51,2.3076923076923075,1.0,1.0
2024,End-Year/Annual,5,3,3,3,3,3,2.0,2.0,1.0
