feature,importance_mean,importance_std
value_rolling_mean_4,0.13746763177273355,
value_median,0.09194767664208897,
value_rolling_mean_2,0.0817191194557052,
value_robust_z_by_period,0.07807789154741498,
value_rolling_std_4,0.06353585864141796,
value_rolling_std_2,0.06310277427930537,
value_winsorized,0.06163805532288287,
value_mean,0.05099055326189165,
value_min,0.046534274723637456,
value_max,0.04480094332613023,
value_sum,0.027899552251118925,
value_change_lag_1,0.027795285818124328,
value_lag_1,0.02446908815514451,
value_change_lag_2,0.01851036824999894,
panel_traceability_index_0_1,0.017650114276890623,
value_pct_change_lag_1,0.017025634614930056,
value_lag_2,0.015411447641067798,
panel_decision_usability_index_0_1,0.015092452629298368,
panel_governance_alignment_index_0_1,0.014731599135071207,
panel_decision_usability_score_1_5,0.014506985937660907,
value_pct_change_lag_2,0.011904017068794072,
value_count,0.009331296096958425,
value_minmax_by_entity,0.007467791335619761,
value_robust_z_by_entity,0.007161660550546046,
value_std,0.006862200492242436,
value_abs_robust_z_by_entity,0.0065717531919231055,
n_source_files,0.0063342197987718,
value_change_lag_4,0.005253697349536594,
value_lag_4,0.004967539229923541,
period_order,0.00385104633856384,
value_pct_change_lag_4,0.003365718099112737,
n_value_columns,0.002883849177486245,
panel_interpretability_score_1_5,0.0025154116272464353,
panel_interpretability_index_0_1,0.002232893069799868,
year,0.001542572224319394,
is_expenditure_related,0.00144917573128168,
is_revenue_related,0.0009542967867884345,
n_raw_labels,0.0008797680887645109,
panel_temporal_support_index_0_1,0.0006045992513821086,
is_surplus_deficit_related,0.0004146133199679965,
is_core_indicator,0.00021556571939498605,
is_debt_related,0.00017728729742698437,
panel_audit_readiness_index_0_1,0.00015172047163505373,
n_source_sheets,0.0,
panel_risk_signal_completeness_0_1,0.0,
