metric_name,formula,scale,interpretation,reviewer_concern_addressed
fiscal_risk_score_0_100,"100 × Σ(w_j × normalized_risk_component_j), weights: imbalance=0.25, deficit=0.20, debt=0.20, revenue composition=0.15, expenditure volatility=0.20.",0-100,Higher values indicate stronger fiscal risk signal.,Defines output-generation procedure.
fiscal_anomaly_label,1 if fiscal_risk_score_0_100 ≥ empirical 75th percentile; otherwise 0.,0/1,Formula-based high-risk anomaly label.,Defines target variable and anomaly threshold.
traceability_index_0_1,0.40 × normalized source-file coverage + 0.30 × normalized source-sheet coverage + 0.30 × normalized long-record coverage.,0-1,Higher values indicate stronger documented provenance.,Defines traceability mathematically.
interpretability_score_0_1,0.35 × known category coverage + 0.35 × known indicator coverage + 0.30 × feature non-missing coverage.,0-1,Higher values indicate stronger explanation readiness.,Defines interpretability mathematically.
interpretability_score_1_5,1 + 4 × interpretability_score_0_1.,1-5,Manuscript-compatible interpretability score.,Explains the 1-5 scale.
governance_alignment_index_0_1,0.40 × traceability_index + 0.35 × interpretability_score + 0.25 × audit_readiness_score.,0-1,"Governance compatibility, auditability, and explanation readiness.",Defines governance alignment mathematically.
decision_usability_score_0_1,0.40 × governance_alignment_index + 0.35 × risk_signal_completeness + 0.25 × temporal_comparability.,0-1,Practical usability for governance-aware decision support.,Defines decision usability mathematically.
decision_usability_score_1_5,1 + 4 × decision_usability_score_0_1.,1-5,Manuscript-compatible usability score.,Explains the 1-5 scale.
temporal_consistency,Mean of [1 - absolute risk-score change / maximum absolute risk-score change] across consecutive observations.,0-1,Higher values indicate smoother temporal behavior.,Defines temporal analytical consistency.
data_column_mapping__revenue,Mapped to source feature column: non_oil_revenue_total_revenue__value_mean,source feature,Automatic input-feature mapping.,Documents feature construction.
data_column_mapping__oil_revenue,Mapped to source feature column: non_oil_revenue_total_revenue__value_mean,source feature,Automatic input-feature mapping.,Documents feature construction.
data_column_mapping__non_oil_revenue,Mapped to source feature column: non_oil_revenue_total_revenue__value_mean,source feature,Automatic input-feature mapping.,Documents feature construction.
data_column_mapping__expenditure,Mapped to source feature column: expenditure_total_expenditure__value_mean,source feature,Automatic input-feature mapping.,Documents feature construction.
data_column_mapping__surplus_deficit,Mapped to source feature column: surplus_deficit_surplus_deficit__value_mean,source feature,Automatic input-feature mapping.,Documents feature construction.
data_column_mapping__debt,Mapped to source feature column: debt_public_debt__value_mean,source feature,Automatic input-feature mapping.,Documents feature construction.
