analysis_set,model,cell,count
leakage_safe,conventional_statistical_baseline,tn,94
leakage_safe,conventional_statistical_baseline,fp,16
leakage_safe,conventional_statistical_baseline,fn,14
leakage_safe,conventional_statistical_baseline,tp,31
leakage_safe,standalone_ai_model,tn,102
leakage_safe,standalone_ai_model,fp,8
leakage_safe,standalone_ai_model,fn,7
leakage_safe,standalone_ai_model,tp,38
leakage_safe,governance_centered_ai_model,tn,102
leakage_safe,governance_centered_ai_model,fp,8
leakage_safe,governance_centered_ai_model,fn,7
leakage_safe,governance_centered_ai_model,tp,38
ultra_conservative,conventional_statistical_baseline,tn,95
ultra_conservative,conventional_statistical_baseline,fp,15
ultra_conservative,conventional_statistical_baseline,fn,15
ultra_conservative,conventional_statistical_baseline,tp,30
ultra_conservative,standalone_ai_model,tn,97
ultra_conservative,standalone_ai_model,fp,13
ultra_conservative,standalone_ai_model,fn,10
ultra_conservative,standalone_ai_model,tp,35
ultra_conservative,governance_centered_ai_model,tn,97
ultra_conservative,governance_centered_ai_model,fp,13
ultra_conservative,governance_centered_ai_model,fn,10
ultra_conservative,governance_centered_ai_model,tp,35
