feature_set_model,feature
leakage_safe__conventional_statistical_baseline,is_core_indicator
leakage_safe__conventional_statistical_baseline,is_debt_related
leakage_safe__conventional_statistical_baseline,is_expenditure_related
leakage_safe__conventional_statistical_baseline,is_revenue_related
leakage_safe__conventional_statistical_baseline,is_surplus_deficit_related
leakage_safe__conventional_statistical_baseline,period_order
leakage_safe__conventional_statistical_baseline,value_max
leakage_safe__conventional_statistical_baseline,value_mean
leakage_safe__conventional_statistical_baseline,value_median
leakage_safe__conventional_statistical_baseline,value_min
leakage_safe__conventional_statistical_baseline,value_minmax_by_entity
leakage_safe__conventional_statistical_baseline,value_std
leakage_safe__conventional_statistical_baseline,value_sum
leakage_safe__conventional_statistical_baseline,value_winsorized
leakage_safe__conventional_statistical_baseline,year
leakage_safe__standalone_ai_model,is_core_indicator
leakage_safe__standalone_ai_model,is_debt_related
leakage_safe__standalone_ai_model,is_expenditure_related
leakage_safe__standalone_ai_model,is_revenue_related
leakage_safe__standalone_ai_model,is_surplus_deficit_related
leakage_safe__standalone_ai_model,n_raw_labels
leakage_safe__standalone_ai_model,n_value_columns
leakage_safe__standalone_ai_model,period_order
leakage_safe__standalone_ai_model,value_change_lag_2
leakage_safe__standalone_ai_model,value_change_lag_4
leakage_safe__standalone_ai_model,value_lag_1
leakage_safe__standalone_ai_model,value_lag_2
leakage_safe__standalone_ai_model,value_lag_4
leakage_safe__standalone_ai_model,value_max
leakage_safe__standalone_ai_model,value_mean
leakage_safe__standalone_ai_model,value_median
leakage_safe__standalone_ai_model,value_min
leakage_safe__standalone_ai_model,value_minmax_by_entity
leakage_safe__standalone_ai_model,value_pct_change_lag_2
leakage_safe__standalone_ai_model,value_pct_change_lag_4
leakage_safe__standalone_ai_model,value_rolling_mean_2
leakage_safe__standalone_ai_model,value_rolling_mean_4
leakage_safe__standalone_ai_model,value_std
leakage_safe__standalone_ai_model,value_sum
leakage_safe__standalone_ai_model,value_winsorized
leakage_safe__standalone_ai_model,year
leakage_safe__governance_centered_ai_model,is_core_indicator
leakage_safe__governance_centered_ai_model,is_debt_related
leakage_safe__governance_centered_ai_model,is_expenditure_related
leakage_safe__governance_centered_ai_model,is_revenue_related
leakage_safe__governance_centered_ai_model,is_surplus_deficit_related
leakage_safe__governance_centered_ai_model,n_raw_labels
leakage_safe__governance_centered_ai_model,n_value_columns
leakage_safe__governance_centered_ai_model,period_order
leakage_safe__governance_centered_ai_model,value_change_lag_2
leakage_safe__governance_centered_ai_model,value_change_lag_4
leakage_safe__governance_centered_ai_model,value_lag_1
leakage_safe__governance_centered_ai_model,value_lag_2
leakage_safe__governance_centered_ai_model,value_lag_4
leakage_safe__governance_centered_ai_model,value_max
leakage_safe__governance_centered_ai_model,value_mean
leakage_safe__governance_centered_ai_model,value_median
leakage_safe__governance_centered_ai_model,value_min
leakage_safe__governance_centered_ai_model,value_minmax_by_entity
leakage_safe__governance_centered_ai_model,value_pct_change_lag_2
leakage_safe__governance_centered_ai_model,value_pct_change_lag_4
leakage_safe__governance_centered_ai_model,value_rolling_mean_2
leakage_safe__governance_centered_ai_model,value_rolling_mean_4
leakage_safe__governance_centered_ai_model,value_std
leakage_safe__governance_centered_ai_model,value_sum
leakage_safe__governance_centered_ai_model,value_winsorized
leakage_safe__governance_centered_ai_model,year
ultra_conservative__conventional_statistical_baseline,is_core_indicator
ultra_conservative__conventional_statistical_baseline,is_debt_related
ultra_conservative__conventional_statistical_baseline,is_expenditure_related
ultra_conservative__conventional_statistical_baseline,is_revenue_related
ultra_conservative__conventional_statistical_baseline,is_surplus_deficit_related
ultra_conservative__conventional_statistical_baseline,period_order
ultra_conservative__conventional_statistical_baseline,value_max
ultra_conservative__conventional_statistical_baseline,value_mean
ultra_conservative__conventional_statistical_baseline,value_median
ultra_conservative__conventional_statistical_baseline,value_min
ultra_conservative__conventional_statistical_baseline,value_std
ultra_conservative__conventional_statistical_baseline,value_sum
ultra_conservative__conventional_statistical_baseline,value_winsorized
ultra_conservative__conventional_statistical_baseline,year
ultra_conservative__standalone_ai_model,is_core_indicator
ultra_conservative__standalone_ai_model,is_debt_related
ultra_conservative__standalone_ai_model,is_expenditure_related
ultra_conservative__standalone_ai_model,is_revenue_related
ultra_conservative__standalone_ai_model,is_surplus_deficit_related
ultra_conservative__standalone_ai_model,period_order
ultra_conservative__standalone_ai_model,value_max
ultra_conservative__standalone_ai_model,value_mean
ultra_conservative__standalone_ai_model,value_median
ultra_conservative__standalone_ai_model,value_min
ultra_conservative__standalone_ai_model,value_std
ultra_conservative__standalone_ai_model,value_sum
ultra_conservative__standalone_ai_model,value_winsorized
ultra_conservative__standalone_ai_model,year
ultra_conservative__governance_centered_ai_model,is_core_indicator
ultra_conservative__governance_centered_ai_model,is_debt_related
ultra_conservative__governance_centered_ai_model,is_expenditure_related
ultra_conservative__governance_centered_ai_model,is_revenue_related
ultra_conservative__governance_centered_ai_model,is_surplus_deficit_related
ultra_conservative__governance_centered_ai_model,period_order
ultra_conservative__governance_centered_ai_model,value_max
ultra_conservative__governance_centered_ai_model,value_mean
ultra_conservative__governance_centered_ai_model,value_median
ultra_conservative__governance_centered_ai_model,value_min
ultra_conservative__governance_centered_ai_model,value_std
ultra_conservative__governance_centered_ai_model,value_sum
ultra_conservative__governance_centered_ai_model,value_winsorized
ultra_conservative__governance_centered_ai_model,year
