metric,n,mean,std,min,q25,median,q75,max
panel_fiscal_risk_score_0_100,803,16.30616453720547,4.9251361627401895,7.206070565688999,15.01026764090199,15.264738579613827,16.43839004488965,73.44703619695923
risk_component_entity_deviation,803,0.003984275154113847,0.05824586376124083,0.0,3.110071124794712e-07,9.59789745716047e-07,1.496588692257264e-06,1.0
risk_component_period_deviation,803,0.04031356180893405,0.0848688024619181,0.0,0.008281338406830048,0.012487066592527574,0.03174887849912897,1.0
risk_component_temporal_change,803,0.030369185885697446,0.09477662414809954,0.0,0.0,0.0038825593853550893,0.02079908504749449,1.0
risk_component_rolling_instability,803,0.04241528860668353,0.10426490606973982,0.0,3.802721450580208e-07,0.010508247373836039,0.0390510258888672,1.0
risk_component_source_uncertainty,803,0.9424501333059445,0.09986948605686825,0.40738831615120286,0.8802405498281787,0.9969072164948454,1.0,1.0
panel_traceability_index_0_1,803,0.05754986669405536,0.09986948605686823,0.0,0.0,0.003092783505154639,0.1197594501718213,0.5926116838487971
panel_interpretability_index_0_1,803,0.9467990797222281,0.1631617874534653,0.19915254237288135,0.9703389830508474,0.9872881355932204,1.0,1.0
panel_interpretability_score_1_5,803,4.787196318888912,0.6526471498138612,1.7966101694915255,4.881355932203389,4.9491525423728815,5.0,5.0
panel_audit_readiness_index_0_1,803,0.9852428393524284,0.06470369492976377,0.7,1.0,1.0,1.0,1.0
panel_governance_alignment_index_0_1,803,0.6470949830514277,0.08777326775132438,0.27970338983050846,0.6396186440677966,0.6485169491525423,0.6911146543188303,0.857414089347079
panel_risk_signal_completeness_0_1,803,1.0,0.0,1.0,1.0,1.0,1.0,1.0
panel_temporal_support_index_0_1,803,0.8669275929549902,0.26935877041817124,0.2857142857142857,1.0,1.0,1.0,1.0
panel_decision_usability_index_0_1,803,0.8365615219544967,0.09026348354003899,0.5336104721549637,0.8325665859564164,0.8769809322033897,0.890992195235599,0.9500949312714777
panel_decision_usability_score_1_5,803,4.3462460878179865,0.36105393416015596,3.134441888619855,4.330266343825666,4.507923728813559,4.563968780942396,4.800379725085911
overall_temporal_consistency_by_entity,803,0.6015599737048845,,,,,,
