risk_score_quantile_threshold,threshold_value,positive_count,negative_count,positive_rate
0.5,15.264738579613827,402,401,0.5006226650062267
0.55,15.359165411804511,361,442,0.44956413449564137
0.6,15.498439972682602,321,482,0.39975093399750933
0.65,15.700854348390127,281,522,0.34993773349937735
0.7,16.026687777966366,241,562,0.3001245330012453
0.75,16.43839004488965,201,602,0.2503113325031133
0.8,17.101175596835745,161,642,0.20049813200498132
0.85,18.01352492831705,121,682,0.1506849315068493
0.9,18.9501630606197,81,722,0.10087173100871731
0.95,22.493783740850855,41,762,0.05105853051058531
